current_position = 9585
EBUG] main, 11: Start 
[2025-04-09 15:41:35] [DEBUG] main, 11: Start 
[2025-04-09 15:41:35] [DEBUG] PO_parse_combined_options, 121: DONE DELETE
[2025-04-09 15:41:35] [DEBUG] main, 18: End 
[2025-04-09 15:41:46] [DEBUG] main, 11: Start 
[2025-04-09 15:41:46] [DEBUG] PO_parse_combined_options, 88: DONE ADD 
[2025-04-09 15:41:46] [DEBUG] main, 18: End 
[2025-04-09 15:41:51] [DEBUG] main, 11: Start 
[2025-04-09 15:41:51] [DEBUG] PO_parse_combined_options, 88: DONE ADD 
[2025-04-09 15:41:51] [DEBUG] main, 18: End 
[2025-04-09 15:43:11] [DEBUG] main, 11: Start 
[2025-04-09 15:43:11] [DEBUG] PO_parse_combined_options, 88: DONE ADD 
[2025-04-09 15:43:11] [DEBUG] main, 18: End 
[2025-04-09 15:45:57] [DEBUG] main, 11: Start 
[2025-04-09 15:45:57] [DEBUG] main, 18: End 
[2025-04-09 15:46:12] [DEBUG] main, 11: Start 
[2025-04-09 15:46:12] [DEBUG] PO_parse_combined_options, 88: DONE ADD 
[2025-04-09 15:46:12] [DEBUG] main, 18: End 
[2025-04-09 15:46:16] [DEBUG] main, 11: Start 
[2025-04-09 15:46:16] [DEBUG] PO_parse_combined_options, 88: DONE ADD 
[2025-04-09 15:46:16] [DEBUG] main, 18: End 
[2025-04-09 15:51:38] [DEBUG] main, 11: Start 
[2025-04-09 15:51:38] [DEBUG] PO_parse_combined_options, 134: ERROR DELETE ALL
[2025-04-09 15:51:38] [DEBUG] main, 18: End 
[2025-04-10 09:43:34] [DEBUG] main, 11: Start 
[2025-04-10 09:43:34] [DEBUG] main, 18: End 
[2025-04-10 09:47:55] [DEBUG] main, 11: Start 
[2025-04-10 09:47:55] [DEBUG] main, 18: End 
[2025-04-10 09:48:54] [DEBUG] main, 11: Start 
[2025-04-10 09:48:54] [DEBUG] PO_parse_combined_options, 120: DONE DELETE
[2025-04-10 09:48:54] [DEBUG] main, 18: End 
[2025-04-10 09:50:32] [DEBUG] main, 11: Start 
[2025-04-10 09:50:32] [DEBUG] PO_parse_combined_options, 134: ERROR DELETE ALL
[2025-04-10 09:50:32] [DEBUG] main, 18: End 
[2025-04-10 09:50:49] [DEBUG] main, 11: Start 
[2025-04-10 09:50:49] [DEBUG] main, 18: End 
[2025-04-10 09:51:03] [DEBUG] main, 11: Start 
[2025-04-10 09:51:03] [DEBUG] PO_parse_combined_options, 99: Searching for: br0
[2025-04-10 09:51:03] [DEBUG] PO_parse_combined_options, 105: DONE SEARCH
[2025-04-10 09:51:03] [DEBUG] main, 18: End 
